t,S_A_nats,dH_std,dK_ball,Pi_std,Pi_ball,Pi_fluct_ball,sqrtF_sld,sqrtF_bures,triad_pure,hatPsi
6.999999999999983,1.7907714577673524,3.0834792880987982,6.880662671195554,39.55317533284126,88.26135401341915,34.053563891365656,5.309483148261426,0.5776047471200407,34.053563891365656,0.08812960220291138
7.049999999999983,1.7892281913926151,3.087009035965646,6.881428817300076,39.53023141645669,88.11910508018775,33.844145325318905,5.28593831556976,0.5770491147111708,33.844145325318905,0.08758763323371686
7.099999999999983,1.7875457353850754,3.0906174075800616,6.882594065884175,39.50204344386658,87.96835516756279,33.639276746271605,5.2638357526070125,0.5765930496283943,33.639276746271605,0.08705743949443857
7.149999999999983,1.7857283274894424,3.0943048188377267,6.88420411176287,39.46879441971292,87.81010687000463,33.44213411939665,5.243644163916131,0.576217236975381,33.44213411939665,0.08654724028770792
7.199999999999982,1.7837821391831588,3.09807072812421,6.886302341941363,39.43074129234648,87.64551552713392,33.25612289151957,5.225862739796695,0.5758985651825219,33.25612289151956,0.08606584880779179
7.249999999999982,1.7817153202855276,3.1019136216676118,6.888929017249551,39.3882168240173,87.47588195921907,33.08480671090721,5.211010849530304,0.5756158155318991,33.08480671090721,0.08562248766954345
7.299999999999982,1.7795379834895875,3.1058310208635267,6.8921205000677315,39.341629058096395,87.30264020029601,32.931827535895216,5.199616486834927,0.5753543924122693,32.93182753589521,0.0852265821519258
7.349999999999982,1.7772621287431591,3.1098195127631407,6.8959085466347885,39.291458396103344,87.12734055832365,32.80081965020783,5.192203758614217,0.5751093329409325,32.80081965020782,0.08488753767223768
7.399999999999982,1.7749015095871359,3.1138748041389204,6.900319680042865,39.238252387209634,86.9516284977372,32.69532057118435,5.189279784185407,0.5748862807618524,32.695320571184354,0.0846145092192754
7.4499999999999815,1.7724714455420267,3.11799179869136,6.905374657154598,39.182618412335685,86.77721997186205,32.61868222438574,5.191321447151431,0.5747005001853992,32.61868222438574,0.08441617147587807
7.499999999999981,1.7699885863675202,3.1221646960728613,6.911088039462222,39.12521451192976,86.60587392936216,32.57398599728289,5.198762504424269,0.5745742787082255,32.57398599728289,0.08430049898042026
7.549999999999981,1.7674706354716958,3.12638711052327,6.917467874490112,39.066738659939126,86.43936278127717,32.56396530569647,5.211981593111823,0.5745332282260492,32.56396530569647,0.0842745657310803
7.599999999999981,1.7649360408975159,3.130652206078218,6.924515490877836,39.007916826028435,86.27944164614735,32.59093905390735,5.231291673550464,0.5746020833624199,32.59093905390735,0.08434437298260118
7.649999999999981,1.7624036631547233,3.134952844567972,6.932225406923886,38.94949019397761,86.12781719421172,32.65675882016493,5.256931397447452,0.5748006321882074,32.65675882016493,0.08451471256396992
7.699999999999981,1.7598924296913214,3.1392817420081967,6.94058534926451,38.89220191691682,85.98611689198464,32.76277177597767,5.289058792486168,0.5751403936054076,32.76277177597767,0.08478907091465346
7.7499999999999805,1.7574209860075372,3.1436316285276718,6.94957637563265,38.836783790226846,85.85585940949497,32.90980031935303,5.327747515410002,0.5756225559839212,32.90980031935303,0.08516957637603424
7.79999999999998,1.7550073533070065,3.1479954067060545,6.959173093389343,38.78394321124072,85.7384268973964,33.09813827623931,5.372985758391121,0.5762374979179626,33.09813827623931,0.08565698936085564
7.84999999999998,1.7526686021558524,3.1523663031242517,6.969343963812958,38.73435077196583,85.63503977227151,33.327562427348305,5.424677717189511,0.5769659402184439,33.32756242734831,0.08625073218429337
7.89999999999998,1.7504205508888067,3.156738008067794,6.98005168100554,38.68862879772204,85.54673456750787,33.597357172715256,5.482647364539525,0.5777814837474095,33.597357172715256,0.08694895289509698
7.94999999999998,1.7482774964797518,3.1611047986676684,6.991253613729721,38.64734110189296,85.47434531545254,33.90634945253105,5.546644136636297,0.5786540463201947,33.90634945253105,0.08774861564965644
7.99999999999998,1.7462519843143165,3.1654616413015897,7.002902298490659,38.61098417639714,85.41848882575565,34.252950658979884,5.616350047802086,0.5795535919859242,34.25295065897988,0.08864560917858133
8.04999999999998,1.7443546218146821,3.1698042697907396,7.014945972661068,38.579979981053754,85.37955411717084,34.63520221328642,5.691387704952475,0.5804535701317592,34.63520221328642,0.08963486473873201
8.09999999999998,1.7425939392384642,3.174129236784239,7.027329137324637,38.55467043531337,85.35769614866605,35.050821715695,5.771328698958189,0.5813336260286175,35.050821715695,0.09071047554798206
8.14999999999998,1.7409762992876512,3.178433936690448,7.039993140678377,38.53531365593643,85.35283388465261,35.49724704291287,5.855701898141832,0.5821813463837968,35.49724704291287,0.09186581090807898
8.199999999999982,1.739505855509269,3.1827165995502416,7.052876774170476,38.52208192732534,85.36465262295694,35.971676389628186,5.944001249720006,0.5829929996318658,35.971676389628186,0.0930936198308922
8.249999999999982,1.7381845579347739,3.186976256309253,7.065916874939587,38.51506134040242,85.39261041738833,36.47110294751588,6.035692796013555,0.583773376279747,36.47110294751588,0.09438612078664008
8.299999999999983,1.7370122030653579,3.191212676988226,7.079048929451617,38.514252993612594,85.43594834311567,36.99234361492337,6.130220721924739,0.5845349134037401,36.992343614923364,0.09573507600369591
8.349999999999984,1.7359865242184551,3.1954262842289243,7.092207674401173,38.519575617308774,85.4937042848027,37.532061777137145,6.227012358364448,0.58529630749556,37.532061777137145,0.09713185042323462
8.399999999999984,1.7351033174332313,3.199618045565651,7.1053276918768695,38.530869460842815,85.56472987506841,38.0867847526342,6.325482165199885,0.5860808003999193,38.0867847526342,0.0985674568496083
8.449999999999985,1.7343565975876396,3.203789348502014,7.118343996423832,38.54790126938403,85.64771017294176,38.65291694324352,6.425034801552267,0.5869142877730567,38.65291694324352,0.10003258998256981
8.499999999999986,1.7337387790813001,3.207941863028242,7.131192611941898,38.570370173184884,85.74118564581313,39.22675004672993,6.5250674577624475,0.5878233671268698,39.22675004672994,0.10151765284713368
8.549999999999986,1.73324087534499,3.21207739657295,7.14381113632759,38.59791431349594,85.8435760003668,39.804471888563825,6.624971670610407,0.5888334277969776,39.804471888563825,0.10301277964993107
8.599999999999987,1.732852711500207,3.21619774653086,7.156139291423096,38.63011803425145,85.95320539460064,40.38217551020383,6.72413487117878,0.5899668963243987,40.38217551020383,0.10450785929941303
8.649999999999988,1.7325631446643157,3.2203045554401464,7.168119455219527,38.66651947489504,86.06832855153266,40.95587012147813,6.821941923676027,0.5912417865306628,40.955870121478135,0.10599256375028483
8.699999999999989,1.7323602866400205,3.224399173606095,7.1796971724394325,38.70661840572315,86.18715728408512,41.521495393783255,6.9177769047790685,0.5926707514550982,41.521495393783255,0.10745638499387583
8.74999999999999,1.73223172401645,3.2284825334972034,7.190821638674245,38.749884152006,86.30788692994064,42.07494035003478,7.011025348368271,0.5942608675497183,42.07494035003479,0.10888868394476542
