t,S_A,DeltaH_A,Pi,Pi_avg
1.3827655310621243,1.262303246581438,1.6022067567860532,10.21188578129993,8.047464980786255
1.4028056112224447,1.2532708489523388,1.6005147096299217,10.055635845923717,8.075749077478331
1.4228456913827654,1.2435366903046512,1.5993073854109763,9.89257020976694,8.100982704315674
1.442885771543086,1.233042332919608,1.5986330092601349,9.722204271773288,8.12319121893838
1.4629258517034067,1.2217349034748723,1.5985394897702163,9.544151474351994,8.14239338455208
1.4829659318637274,1.209575429424934,1.5990742776430005,9.358247808093173,8.15860477686596
1.503006012024048,1.1965460228408384,1.6002845441741076,9.164652815621972,8.171842251060118
1.5230460921843687,1.182655128555042,1.6022165839800293,8.963909285842087,8.182128835927417
1.5430861723446894,1.1679402214418246,1.6049156717065047,8.756961473105994,8.189498485122014
1.56312625250501,1.1524674124377412,1.6084252115493582,8.545120103289333,8.194000024592487
1.5831663326653307,1.1363280635062376,1.6127858485837943,8.329983866211098,8.19569982261272
1.6032064128256511,1.1196323387277198,1.6180346245713124,8.113321204647894,8.194682802637846
1.6232464929859718,1.1025004311711413,1.6242032332823875,7.896922902031343,8.191051584337766
1.6432865731462925,1.0850520775527799,1.6313171910284385,7.682446947992581,8.184923817634813
1.6633266533066131,1.067395336824138,1.6393939817468959,7.471261375379942,8.176427836179398
1.6833667334669338,1.0496159195893882,1.6484418179502227,7.264311062491684,8.165697050606601
1.7034068136272544,1.0317680328927832,1.6584584788760157,7.062016541256923,8.152863556311836
1.723446893787575,1.0138680755652718,1.6694299019792003,6.86421813070917,8.138051539925598
1.7434869739478958,0.995891969366908,1.6813298828020686,6.67017738983055,8.121371151856337
1.7635270541082164,0.9777768540887435,1.694119035057002,6.478633590341032,8.102913426446053
1.783567134268537,0.959427360737886,1.7077453157671652,6.287924130935852,8.082746878718162
1.8036072144288577,0.9407263549273621,1.7221439134525551,6.096155757693604,8.06091620705855
1.8236472945891782,0.9215494876805584,1.7372383034568002,5.901422548020591,8.037443449895095
1.8436873747494988,0.9017827390103726,1.7529411779409465,5.702051964697225,8.012331713495119
1.8637274549098195,0.8813416750144216,1.7691560505619721,5.496860893380625,7.98557138562156
1.8837675350701402,0.860191138807576,1.7857789090533087,5.285396947270951,7.957148496796815
1.9038076152304608,0.8383639376741998,1.802700187382186,5.06814081334951,7.927054666760906
1.9238476953907815,0.8159771159711214,1.81980682895193,4.846645332031929,7.895297869495659
1.9438877755511021,0.7932444135046146,1.8369843762917295,4.623591944297038,7.861913115156897
1.9639278557114228,0.7704834701549598,1.8541190028708776,4.402752253762875,7.826972096354937
1.9839679358717435,0.7481162511593606,1.8710993990573401,4.188852118394273,7.79059089657533
2.004008016032064,0.7266610474427154,1.8878186506651036,3.9873469343671784,7.7529350157613885
2.024048096192385,0.7067142019182302,1.9041755915728886,3.80412363298392,7.714221178675334
2.0440881763527052,0.6889199118572448,1.9200762535613198,3.645154516249737,7.674715677098387
2.064128256513026,0.6739270105598945,1.935434685465085,3.5161244420836053,7.634729222915553
2.0841683366733466,0.662333513151083,1.9501737395174537,3.4220531927711004,7.594608498818938
2.1042084168336674,0.6546228645111791,1.9642254162180628,3.3669266717186894,7.554724707997238
2.124248496993988,0.6511000633245634,1.9775309679141506,3.353349036439974,7.515459514805115
2.1442885771543083,0.6518395440976249,1.9900407865923804,3.382231858387841,7.477188888356807
2.164328657314629,0.6566574878111002,2.0017140415090586,3.4525488227117314,7.4402655850022645
2.1843687374749496,0.6651163768573733,2.0125181589435357,3.5611894804480877,7.405001256779045
2.2044088176352705,0.676561954341696,2.022428150206757,3.702953318556605,7.371649473551816
2.224448897795591,0.690184517819303,2.0314258988012375,3.870716843540102,7.34039114649814
2.244488977955912,0.7050922117839252,2.039499380826734,4.0557894799310725,7.31132387511259
2.2645290581162323,0.72038495459971,2.046641935778984,4.248456029147445,7.284456613305879
2.284569138276553,0.7352213357691397,2.052851584489899,4.438679083765271,7.259710721744655
2.3046092184368736,0.7488747114252549,2.0581304512776297,4.616907995913135,7.236927939625418
2.3246492985971945,0.7607782409092352,2.06248434078341,4.774927884501104,7.215885204111536
2.344689378757515,0.7705595282970829,2.065922398689665,4.906664750838066,7.196315539253286
2.3647294589178354,0.7780661221278062,2.0684570504140076,5.008867126729209,7.177933619820311
2.3847695390781563,0.7833824006717186,2.0701039855163126,5.081591780096677,7.1604641044892805
2.4048096192384767,0.7868371503248373,2.070882371775341,5.128438315660184,7.1436705029287095
2.4248496993987976,0.7889996071854556,2.0708151982345147,5.156498657608645,7.127382209114611
2.444889779559118,0.7906593539575897,2.069929657629497,5.1760016359843055,7.111517326406235
2.464929859719439,0.7927834747237196,2.0682576981232064,5.199646494733498,7.096099013247584
2.4849699398797593,0.7964438180847158,2.065836474721378,5.241628339118104,7.081263247854547
2.50501002004008,0.8027115954083367,2.062708885664454,5.31639209806508,7.06725633396733
2.5250501002004007,0.8125279565930188,2.058923956547909,5.437220222440318,7.054421403955306
2.5450901803607215,0.8265754469245017,2.054537131248621,5.614860711291328,7.043174836043869
2.565130260521042,0.8451841781643155,2.049610386572263,5.856444359108335,7.0339753749823535
