mode,theta,mu,m2,p_hat,p_lo,p_hi,pz,pz_lo,pz_hi,pass,source,rho,lam,Y_avg,ineq_mu_m2_rhs,ineq_mu_m2_lhs,ineq_M_rhs,ineq_M_lhs,M_sup
D,0.4,0.0390387080557599,0.0075444572222559,0.36435,0.3577070128769743,0.3710450865050469,0.0727219262348172,0.070986930521021,0.0744732035633407,True,A15_pz_summary_D.csv,,,,,,,,
D,0.6,0.0390387080557599,0.0075444572222559,0.3168,0.3103880815393878,0.323282280471569,0.0323208561043632,0.0315985961787918,0.0330746339051103,True,A15_pz_summary_D.csv,,,,,,,,
D,0.8,0.0390387080557599,0.0075444572222559,0.27915,0.272975956595763,0.2854088657302183,0.0080802140260907,0.0079121390592894,0.0082885140240311,True,A15_pz_summary_D.csv,,,,,,,,
E,0.2,0.0293921891175623,0.0054601867554485,0.6413,0.6346263912059618,0.647919339404583,0.1012596317088806,0.0942937477847131,0.1083555288942145,True,A15_pz_summary_E.csv,,,,,,,,
E,0.4,0.0293921891175623,0.0054601867554485,0.4561,0.4492063298844765,0.4630105308812494,0.0569585428362453,0.0535020868757033,0.0609265721293037,True,A15_pz_summary_E.csv,,,,,,,,
E,0.6,0.0293921891175623,0.0054601867554485,0.3508,0.3442154082910347,0.3574418952681068,0.0253149079272201,0.0237977137411577,0.027049900235039,True,A15_pz_summary_E.csv,,,,,,,,
E,0.8,0.0293921891175623,0.0054601867554485,0.281,0.2748130478341847,0.2872710639583892,0.006328726981805,0.0059681720642629,0.0068264225186401,True,A15_pz_summary_E.csv,,,,,,,,
F,0.2,0.2039535745201115,0.0504405564261519,0.942,0.935175361220281,0.9481459902602886,0.52779193261034,0.5240718704039733,0.5321530577816562,True,A15_pz_summary_F.csv,,,0.1019767872600557,0.0107645051258756,0.1019767872600557,0.0001539179227548,0.1019767872600557,17.296308501055247
F,0.4,0.2039535745201115,0.0504405564261519,0.8488,0.8386025999247282,0.8584618511984001,0.2968829620933161,0.2944791482332706,0.2991249007263017,True,A15_pz_summary_F.csv,,,0.1019767872600557,0.01211006826661,0.1019767872600557,0.0001731576630992,0.1019767872600557,17.296308501055247
F,0.6,0.2039535745201115,0.0504405564261519,0.7582,0.7461365272379327,0.7698670314776398,0.131947983152585,0.1309820169999604,0.1329210390068527,True,A15_pz_summary_F.csv,,,0.1019767872600557,0.0080733788444067,0.1019767872600557,0.0001154384420661,0.1019767872600557,17.296308501055247
F,0.8,0.2039535745201115,0.0504405564261519,0.661,0.6477599537795187,0.6739928461941731,0.0329869957881462,0.0327425033533347,0.0332358372658717,True,A15_pz_summary_F.csv,,,0.1019767872600557,0.0026911262814689,0.1019767872600557,3.847948068871952e-05,0.1019767872600557,17.296308501055247
